product_id,product_name,product_category,product_type
HH-001,Surprise Mini Troll,Stickers pins & magnets,Stickers/Pins/Magnets
HH-002,Today I'm Gonna Give It My Almost Glitter Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-003,Dumpster Fire Response Team Member Pen,Stationery & writing,Writing Instruments
HH-004,Do You Have Any Fucks? Not Even One Girl. Go Fish. Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-005,Mini Troll Surprise Packs - 3 6 or 10,Stickers pins & magnets,Stickers/Pins/Magnets
HH-006,Hidden Fuck Trump Floral Pixie Glitter Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-007,Girls Will Be Girls Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-008,My Workout Is Reading In Bed Until My Arm Hurts Mini Glitter Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-009,Sorry I Was Rude It Was Probably Your Fault Pen,Stationery & writing,Writing Instruments
HH-010,This Place Sucks. I'm Outta Here. Tote Bag,Women's accessories,Bags & Accessories
HH-011,Due To Not Wanting To I Will Not Be Glitter Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-012,Radicalized By Basic Decency Floral Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-013,54321 Grounding Technique Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-014,The Only Minority Destroying This Country Are The Billionaires Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-015,Stable? That's For Horses Glitter Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-016,I Should Be Frolicking In A Forest But I'm Here. Wtf Pen,Stationery & writing,Writing Instruments
HH-017,You've Just Buttered Your Last Biscuit Sticker,Stickers pins & magnets,Stickers/Pins/Magnets
HH-018,Whose God Damn White Baby Is This? Tote Bag,Women's accessories,Bags & Accessories
HH-019,More Pride Less Prejudice Tote Bag,Women's accessories,Bags & Accessories
